diameter,batch
1.006,1
0.996,1
0.998,1
1,1
0.992,1
0.993,1
1.002,1
0.999,1
0.994,1
1,1
0.998,2
1.006,2
1,2
1.002,2
0.997,2
0.998,2
0.996,2
1,2
1.006,2
0.988,2
0.991,3
0.987,3
0.997,3
0.999,3
0.995,3
0.994,3
1,3
0.999,3
0.996,3
0.996,3
1.005,4
1.002,4
0.994,4
1,4
0.995,4
0.994,4
0.998,4
0.996,4
1.002,4
0.996,4
0.998,5
0.998,5
0.982,5
0.99,5
1.002,5
0.984,5
0.996,5
0.993,5
0.98,5
0.996,5
1.009,6
1.013,6
1.009,6
0.997,6
0.988,6
1.002,6
0.995,6
0.998,6
0.981,6
0.996,6
0.99,7
1.004,7
0.996,7
1.001,7
0.998,7
1,7
1.018,7
1.01,7
0.996,7
1.002,7
0.998,8
1,8
1.006,8
1,8
1.002,8
0.996,8
0.998,8
0.996,8
1.002,8
1.006,8
1.002,9
0.998,9
0.996,9
0.995,9
0.996,9
1.004,9
1.004,9
0.998,9
0.999,9
0.991,9
0.991,10
0.995,10
0.984,10
0.994,10
0.997,10
0.997,10
0.991,10
0.998,10
1.004,10
0.997,10
