,body,brain
Lesser short-tailed shrew,0.5,0.14
Little brown bat,1,0.25
Big brown bat,2.3,0.3
Mouse,2.3,0.4
Musk shrew,4.8,0.33
Star-nosed mole,6,1
E. American mole,7.5,1.2
Ground squirrel,10.1,4
Tree shrew,10.4,2.5
Golden hamster,12,1
Mole,12.2,3
Galago,20,5
Rat,28,1.9
Chinchilla,42.5,6.4
Owl monkey,48,15.5
Desert hedgehog,55,2.4
Rock hyrax-a,75,12.3
European hedgehog,78.5,3.5
Tenrec,90,2.6
Artic ground squirrel,92,5.7
African giant pouched rat,100,6.6
Guinea pig,104,5.5
Mountain beaver,135,8.1
Slow loris,140,12.5
Genet,141,17.5
Phalanger,162,11.4
N.A. opossum,170,6.3
Tree hyrax,200,12.3
Rabbit,250,12.1
Echidna,300,25
Cat,330,25.6
Artic fox,338.5,44.5
Water opossum,350,3.9
Nine-banded armadillo,350,10.8
Rock hyrax-b,360,21
Yellow-bellied marmot,405,17
Verbet,419,58
Red fox,423.5,50.4
Raccoon,428.8,39.2
Rhesus monkey,680,179
Potar monkey,1000,115
Baboon,1055,179.5
Roe deer,1483,98.2
Goat,2766,115
Kangaroo,3500,56
Grey wolf,3633,119.5
Chimpanzee,5216,440
Sheep,5550,175
Giant armadillo,6000,81
Human,6200,1320
Grey seal,8500,325
Jaguar,10000,157
Brazilian tapir,16000,169
Donkey,18710,419
Pig,19200,180
Gorilla,20700,406
Okapi,25000,490
Cow,46500,423
Horse,52100,655
Giraffe,52900,680
Asian elephant,254700,4603
African elephant,665400,5712
Triceratops,940000,70
Dipliodocus,1170000,50
Brachiosaurus,8700000,154.5
