Year,Quakes,Lag1,Lag2,Lag3,Lag4
1916,2,,,,
1917,5,2,,,
1918,12,5,2,,
1919,8,12,5,2,
1920,7,8,12,5,2
1921,9,7,8,12,5
1922,7,9,7,8,12
1923,12,7,9,7,8
1924,9,12,7,9,7
1925,12,9,12,7,9
1926,13,12,9,12,7
1927,11,13,12,9,12
1928,16,11,13,12,9
1929,15,16,11,13,12
1930,9,15,16,11,13
1931,19,9,15,16,11
1932,9,19,9,15,16
1933,8,9,19,9,15
1934,12,8,9,19,9
1935,14,12,8,9,19
1936,11,14,12,8,9
1937,9,11,14,12,8
1938,21,9,11,14,12
1939,14,21,9,11,14
1940,7,14,21,9,11
1941,13,7,14,21,9
1942,11,13,7,14,21
1943,18,11,13,7,14
1944,13,18,11,13,7
1945,5,13,18,11,13
1946,10,5,13,18,11
1947,13,10,5,13,18
1948,11,13,10,5,13
1949,9,11,13,10,5
1950,13,9,11,13,10
1951,11,13,9,11,13
1952,7,11,13,9,11
1953,9,7,11,13,9
1954,6,9,7,11,13
1955,10,6,9,7,11
1956,8,10,6,9,7
1957,21,8,10,6,9
1958,8,21,8,10,6
1959,8,8,21,8,10
1960,13,8,8,21,8
1961,12,13,8,8,21
1962,10,12,13,8,8
1963,17,10,12,13,8
1964,12,17,10,12,13
1965,18,12,17,10,12
1966,9,18,12,17,10
1967,11,9,18,12,17
1968,22,11,9,18,12
1969,14,22,11,9,18
1970,17,14,22,11,9
1971,20,17,14,22,11
1972,16,20,17,14,22
1973,9,16,20,17,14
1974,11,9,16,20,17
1975,13,11,9,16,20
1976,14,13,11,9,16
1977,10,14,13,11,9
1978,12,10,14,13,11
1979,8,12,10,14,13
1980,6,8,12,10,14
1981,10,6,8,12,10
1982,7,10,6,8,12
1983,14,7,10,6,8
1984,14,14,7,10,6
1985,15,14,14,7,10
1986,11,15,14,14,7
1987,13,11,15,14,14
1988,11,13,11,15,14
1989,9,11,13,11,15
1990,18,9,11,13,11
1991,17,18,9,11,13
1992,13,17,18,9,11
1993,12,13,17,18,9
1994,13,12,13,17,18
1995,20,13,12,13,17
1996,15,20,13,12,13
1997,16,15,20,13,12
1998,12,16,15,20,13
1999,18,12,16,15,20
2000,15,18,12,16,15
2001,16,15,18,12,16
2002,13,16,15,18,12
2003,15,13,16,15,18
2004,16,15,13,16,15
2005,11,16,15,13,16
2006,11,11,16,15,13
2007,17,11,11,16,15
2008,13,17,11,11,16
2009,17,13,17,11,11
2010,22,17,13,17,11
2011,20,22,17,13,17
2012,17,20,22,17,13
2013,19,17,20,22,17
2014,13,19,17,20,22
2015,19,13,19,17,20
2016,16,19,13,19,17
2017,7,16,19,13,19
2018,17,7,16,19,13
2019,9,17,7,16,19
2020,9,9,17,7,16
2021,19,9,9,17,7
,,19,9,9,17
,,,19,9,9
,,,,19,9
,,,,,19
