yieldAB,temp,catalyst,catalyst2,catalyst3,catalyst3ABorC
56,21,A,1,1,AB
55,28,A,1,1,AB
63,33,A,1,1,AB
52,33,A,1,1,AB
58,38,A,1,1,AB
65,43,A,1,1,AB
64,48,A,1,1,AB
61,53,A,1,1,AB
69,53,A,1,1,AB
73,58,A,1,1,AB
62,63,A,1,1,AB
70,67,A,1,1,AB
41,23,B,0,1,AB
40,30,B,0,1,AB
46,33,B,0,1,AB
48,42,B,0,1,AB
45,43,B,0,1,AB
58,43,B,0,1,AB
55,45,B,0,1,AB
57,48,B,0,1,AB
62,58,B,0,1,AB
47,29,B,0,1,AB
64,66,B,0,1,AB
60,67,B,0,1,AB
28,19,C,,0,C
25,23,C,,0,C
71,67,C,,0,C
62,56,C,,0,C
50,45,C,,0,C
46,37,C,,0,C
34,27,C,,0,C
59,47,C,,0,C
36,29,C,,0,C
71,59,C,,0,C
62,51,C,,0,C
71,63,C,,0,C
